Pos,ID,Name,BV,SV,Team,37_xMins,37_Pts,38_xMins,38_Pts,Elite%
D,267,Davis,4.2,4.2,Ipswich,87,3.16,79,2.84,0.00
F,268,Delap,5.6,5.6,Ipswich,72,3.97,71,3.73,0.00
D,269,Edmundson,4.0,4.0,Ipswich,0,0.00,0,0.00,0.00
D,270,Greaves,3.8,3.8,Ipswich,57,1.70,54,1.52,0.00
M,271,Harness,4.9,4.9,Ipswich,0,0.00,0,0.00,0.00
F,272,Hirst,5.4,5.4,Ipswich,24,1.53,25,1.51,0.00
M,273,Humphreys,4.5,4.5,Ipswich,0,0.00,0,0.00,0.00
M,274,Hutchinson,5.2,5.2,Ipswich,84,3.42,78,3.12,0.00
D,275,Johnson,3.8,3.8,Ipswich,50,1.89,45,1.59,0.00
F,276,Ladapo,4.5,4.5,Ipswich,0,0.00,0,0.00,0.00
M,277,Luongo,4.3,4.3,Ipswich,2,0.12,4,0.24,0.00
M,278,Morsy,4.8,4.8,Ipswich,71,1.97,70,1.90,0.00
D,279,Ndaba,4.0,4.0,Ipswich,0,0.00,0,0.00,0.00
G,280,Slicker,3.9,3.9,Ipswich,0,0.00,0,0.00,0.00
M,281,Taylor,4.8,4.8,Ipswich,25,1.08,24,1.03,0.00
D,282,Tuanzebe,3.9,3.9,Ipswich,53,1.61,54,1.60,0.00
G,283,Walton,4.3,4.3,Ipswich,2,0.06,2,0.07,0.00
D,284,Woolfenden,3.9,3.9,Ipswich,30,0.87,32,0.91,0.00
M,285,B.Soumaré,4.4,4.4,Leicester,53,1.67,55,1.45,0.00
F,286,Cannon,4.5,4.5,Leicester,0,0.00,0,0.00,0.00
M,287,Choudhury,4.4,4.4,Leicester,0,0.00,0,0.00,0.00
D,288,Coady,4.0,4.0,Leicester,86,2.87,83,1.17,0.00
F,289,Daka,4.8,4.8,Leicester,25,1.65,28,1.35,0.00
M,290,De Cordova-Reid,5.2,5.2,Leicester,0,0.00,0,0.00,0.00
D,291,Faes,3.8,3.8,Leicester,91,3.05,87,1.16,0.00
M,292,Golding,4.4,4.4,Leicester,0,0.00,0,0.00,0.00
G,293,Hermansen,4.4,4.4,Leicester,0,0.00,0,0.00,0.00
G,294,Iversen,3.9,3.9,Leicester,0,0.00,1,0.05,0.00
D,295,Justin,4.1,4.1,Leicester,64,2.48,58,1.02,0.00
D,296,Kristiansen,4.4,4.4,Leicester,29,1.21,26,0.61,0.00
M,297,Marcal,4.5,4.5,Leicester,0,0.00,0,0.00,0.00
M,298,Mavididi,5.0,5.0,Leicester,0,0.00,0,0.00,0.00
M,299,McAteer,4.7,4.7,Leicester,46,2.38,46,1.78,0.00
M,300,Ndidi,4.9,4.9,Leicester,86,2.94,84,2.16,0.00
D,301,Okoli,4.0,4.0,Leicester,11,0.35,17,0.29,0.00
D,302,Ricardo,4.1,4.1,Leicester,28,1.20,49,1.03,0.00
D,303,Souttar,4.0,4.0,Leicester,0,0.00,0,0.00,0.00
G,304,Stolarczyk,4.0,4.0,Leicester,94,3.46,92,2.98,0.01
D,305,Thomas,3.9,3.9,Leicester,69,2.50,63,1.00,0.00
F,306,Vardy,5.3,5.3,Leicester,82,5.02,79,3.23,0.01
D,307,Vestergaard,3.9,3.9,Leicester,0,0.00,1,0.03,0.00
G,308,Ward,3.9,3.9,Leicester,0,0.00,1,0.04,0.00
M,309,Winks,4.3,4.3,Leicester,4,0.18,6,0.22,0.00
G,310,A.Becker,5.5,5.5,Liverpool,94,3.39,91,3.83,0.00
D,311,Alexander-Arnold,7.2,7.2,Liverpool,35,1.53,41,2.40,0.01
M,312,Bajcetic,4.5,4.5,Liverpool,0,0.00,0,0.00,0.00
D,313,Bradley,4.7,4.7,Liverpool,58,2.09,50,2.53,0.05
M,314,Carvalho,4.5,4.5,Brentford,0,0.00,8,0.47,0.00
M,315,Clark,4.5,4.5,Liverpool,0,0.00,0,0.00,0.00
F,316,Darwin,7.0,7.0,Liverpool,30,1.76,32,2.11,0.00
M,317,Diogo J.,7.2,7.2,Liverpool,50,2.96,50,3.52,0.00
M,318,Doak,4.5,4.5,Liverpool,0,0.00,0,0.00,0.00
M,319,Elliott,5.2,5.2,Liverpool,22,1.16,24,1.38,0.00
M,320,Endo,4.6,4.6,Liverpool,12,0.52,14,0.63,0.00
F,321,Gakpo,7.2,7.2,Liverpool,51,2.73,49,2.90,0.00
D,322,Gomez,4.7,4.7,Liverpool,1,0.04,14,0.58,0.00
M,323,Gravenberch,5.0,5.0,Liverpool,77,2.44,74,2.77,0.00
M,324,Jones,5.3,5.3,Liverpool,42,1.79,44,2.14,0.00
G,325,Kelleher,3.9,3.9,Liverpool,1,0.05,4,0.17,0.00
D,326,Konaté,5.3,5.3,Liverpool,79,2.29,75,3.32,0.02
M,327,Luis Díaz,7.5,7.5,Liverpool,60,3.21,59,3.80,0.00
M,328,M.Salah,13.7,13.2,Liverpool,83,5.52,81,6.68,0.77
M,329,Mac Allister,6.2,6.2,Liverpool,76,2.73,74,3.23,0.00
M,330,McConnell,4.3,4.3,Liverpool,0,0.00,0,0.00,0.00
M,331,Morton,4.4,4.4,Liverpool,0,0.00,1,0.08,0.00
D,332,N.Phillips,4.0,4.0,Liverpool,0,0.00,0,0.00,0.00
D,333,Quansah,3.9,3.9,Liverpool,23,0.70,23,0.95,0.00
D,334,R.Williams,4.0,4.0,Liverpool,0,0.00,0,0.00,0.00
D,335,Robertson,5.8,5.8,Liverpool,58,2.29,57,3.07,0.00
M,336,Szoboszlai,6.1,6.1,Liverpool,60,2.94,55,3.11,0.00
D,337,Tsimikas,4.6,4.6,Liverpool,35,1.42,34,1.82,0.00
D,338,Van den Berg,4.1,4.1,Brentford,88,3.32,86,2.80,0.00
D,339,Virgil,6.7,6.7,Liverpool,84,2.37,82,3.51,0.01
D,340,Akanji,5.3,5.3,Man City,48,1.95,43,1.70,0.00
D,341,Aké,5.3,5.3,Man City,24,1.05,38,1.58,0.00
M,342,Bernardo,6.1,6.1,Man City,47,2.11,46,1.92,0.00
M,343,Bobb,4.7,4.7,Man City,4,0.27,8,0.49,0.00
G,344,Carson,3.9,3.9,Man City,0,0.00,0,0.00,0.00
M,345,De Bruyne,9.6,9.6,Man City,75,4.62,69,3.84,0.21
M,346,Doku,6.2,6.2,Man City,56,2.97,52,2.56,0.00
G,347,Ederson M.,5.3,5.3,Man City,93,3.69,89,3.50,0.00
M,348,Foden,9.1,9.1,Man City,25,1.68,26,1.66,0.00
M,349,Grealish,6.4,6.4,Man City,14,0.82,15,0.87,0.00
D,350,Gvardiol,6.5,6.2,Man City,83,3.65,78,3.18,0.97
F,351,Haaland,14.8,14.8,Man City,83,6.10,86,5.49,0.08
F,352,J.Alvarez,7.0,7.0,Man City,0,0.00,0,0.00,0.00
D,353,João Cancelo,5.3,5.3,Man City,0,0.00,0,0.00,0.00
M,354,Kovačić,5.4,5.4,Man City,47,1.73,39,1.39,0.00
D,355,Lewis,4.3,4.3,Man City,34,1.50,34,1.38,0.01
M,356,Matheus N.,4.9,4.9,Man City,50,1.89,46,1.66,0.00
M,357,McAtee,4.6,4.6,Man City,18,1.28,19,1.24,0.00
G,358,Ortega Moreno,5.2,5.2,Man City,2,0.09,6,0.23,0.00
M,359,Phillips,4.8,4.8,Ipswich,42,1.42,40,1.33,0.00
M,360,Rodrigo,6.2,6.2,Man City,5,0.24,29,1.07,0.00
D,361,Rúben,5.5,5.5,Man City,84,3.23,81,2.94,0.31
D,362,Stones,5.3,5.3,Man City,5,0.23,17,0.71,0.00
D,363,Walker,5.1,5.1,Man City,0,0.00,0,0.00,0.00
M,364,Amad,5.3,5.3,Man Utd,79,3.07,75,3.53,0.00
M,365,Antony,5.7,5.7,Man Utd,0,0.00,0,0.00,0.00
M,366,B.Fernandes,8.5,8.5,Man Utd,70,3.04,69,3.63,0.01
G,367,Bayindir,4.3,4.3,Man Utd,25,0.83,23,0.82,0.00
M,368,Casemiro,4.6,4.6,Man Utd,40,1.41,37,1.45,0.00
D,369,Dalot,5.0,5.0,Man Utd,0,0.00,33,1.12,0.00
M,370,Eriksen,5.2,5.2,Man Utd,31,1.29,31,1.44,0.00
D,371,Evans,4.4,4.4,Man Utd,11,0.28,4,0.12,0.00
M,372,Garnacho,5.9,5.9,Man Utd,44,1.89,43,2.11,0.00
M,373,Hannibal,4.5,4.5,Man Utd,0,0.00,0,0.00,0.00
G,374,Heaton,3.9,3.9,Man Utd,0,0.00,0,0.00,0.00
F,375,Højlund,6.9,6.9,Man Utd,45,2.11,44,2.21,0.00
D,376,Lindelof,4.3,4.3,Man Utd,43,0.81,28,0.86,0.00
D,377,Maguire,4.9,4.9,Man Utd,44,0.98,36,1.27,0.00
M,378,Mainoo,5.2,5.2,Man Utd,50,1.57,47,1.63,0.00
D,379,Malacia,4.4,4.4,Man Utd,0,0.00,0,0.00,0.00
D,380,Martinez,4.3,4.3,Man Utd,0,0.00,0,0.00,0.00
M,381,McTominay,4.9,4.9,Man Utd,0,0.00,0,0.00,0.00
M,382,Mount,6.3,6.3,Man Utd,54,2.26,49,2.41,0.00
G,383,Onana,4.9,4.9,Man Utd,70,2.30,71,2.56,0.00
M,384,Pellistri,5.0,5.0,Man Utd,0,0.00,0,0.00,0.00
M,385,Rashford,6.6,6.6,Aston Villa,0,0.00,0,0.00,0.03
M,386,Sancho,6.2,6.2,Chelsea,0,0.00,58,3.15,0.00
D,387,Shaw,4.9,4.9,Man Utd,59,1.25,50,1.75,0.00
D,388,Wan-Bissaka,4.4,4.4,West Ham,90,3.08,88,3.33,0.05
F,389,Zirkzee,6.5,6.5,Man Utd,0,0.00,0,0.00,0.00
D,390,A.Murphy,4.0,4.0,Newcastle,0,0.00,0,0.00,0.00
M,391,Almirón,5.4,5.4,Newcastle,0,0.00,0,0.00,0.00
M,392,Barnes,6.0,6.0,Newcastle,59,2.94,52,3.54,0.00
D,393,Botman,4.4,4.4,Newcastle,42,1.25,59,2.84,0.00
M,394,Bruno G.,6.2,6.2,Newcastle,91,2.75,87,3.56,0.00
D,395,Burn,4.5,4.5,Newcastle,90,2.28,82,3.60,0.11
G,396,Dúbravka,4.0,4.0,Newcastle,1,0.04,3,0.12,0.00
M,397,Fraser,4.8,4.8,Southampton,0,0.00,1,0.07,0.00
M,398,Gordon,7.4,7.4,Newcastle,71,3.10,70,4.13,0.00
D,399,Hall,4.7,4.7,Newcastle,0,0.00,0,0.00,0.00
M,400,Hayden,4.4,4.4,Newcastle,0,0.00,0,0.00,0.00
F,401,Isak,9.5,9.4,Newcastle,79,3.99,76,5.37,0.84
M,402,J.Murphy,5.2,5.2,Newcastle,65,2.62,60,3.24,0.14
M,403,Joelinton,6.0,6.0,Newcastle,0,0.00,35,1.49,0.00
D,404,Kelly,4.2,4.2,Newcastle,0,0.00,0,0.00,0.00
D,405,Krafth,4.3,4.3,Newcastle,23,0.67,12,0.49,0.00
M,406,Kuol,4.4,4.4,Newcastle,1,0.09,1,0.13,0.00
D,407,Lascelles,4.5,4.5,Newcastle,23,0.71,11,0.45,0.00
D,408,Lewis,4.0,4.0,Newcastle,0,0.00,0,0.00,0.00
D,409,Livramento,4.6,4.5,Newcastle,90,2.43,85,4.02,0.53
M,410,Longstaff,4.4,4.4,Newcastle,23,0.89,10,0.50,0.00
M,411,Miley,5.0,5.0,Newcastle,45,1.69,25,1.16,0.00
G,412,Odysseas,4.2,4.2,Newcastle,0,0.00,0,0.00,0.00
G,413,Pope,5.0,5.0,Newcastle,94,3.30,92,3.89,0.15
G,414,Ruddy,3.9,3.9,Newcastle,0,0.00,0,0.00,0.00
D,415,Schär,5.5,5.5,Newcastle,90,2.36,87,3.92,0.01
D,416,Targett,3.9,3.9,Newcastle,0,0.00,4,0.18,0.00
M,417,Tonali,5.5,5.5,Newcastle,90,2.94,85,3.66,0.00
D,418,Trippier,5.7,5.7,Newcastle,0,0.00,28,1.61,0.08
M,419,White,4.5,4.5,Newcastle,0,0.00,0,0.00,0.00
M,420,Willock,4.7,4.7,Newcastle,33,1.25,47,2.26,0.00
F,421,Wilson,6.9,6.9,Newcastle,24,1.37,23,1.74,0.00
D,422,Aina,5.2,5.2,Nott'm Forest,90,3.15,87,2.46,0.02
M,423,Anderson,5.0,5.0,Nott'm Forest,85,2.79,83,2.63,0.00
F,424,Awoniyi,5.5,5.5,Nott'm Forest,10,0.68,11,0.69,0.00
D,425,Boly,4.2,4.2,Nott'm Forest,11,0.41,6,0.20,0.00
M,426,Bowler,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0.00
G,427,C.Miguel,4.1,4.1,Nott'm Forest,1,0.05,2,0.07,0.00
M,428,Da Silva Moreira,4.3,4.3,Nott'm Forest,0,0.00,0,0.00,0.00
M,429,Danilo,4.7,4.7,Nott'm Forest,22,1.02,18,0.80,0.00
F,430,Dennis,4.9,4.9,Nott'm Forest,0,0.00,0,0.00,0.00
M,431,Dominguez,4.8,4.8,Nott'm Forest,54,1.92,50,1.69,0.00
M,432,Elanga,5.5,5.5,Nott'm Forest,62,3.09,59,2.73,0.01
M,433,Gibbs-White,6.4,6.4,Nott'm Forest,83,3.93,80,3.50,0.00
M,434,Hudson-Odoi,5.1,5.1,Nott'm Forest,38,1.78,68,2.84,0.00
M,435,Mighten,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0.00
D,436,Murillo,4.8,4.8,Nott'm Forest,63,2.20,83,2.32,0.01
D,437,N.Williams,4.5,4.5,Nott'm Forest,87,3.19,84,2.44,0.30
D,438,O.Richards,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0.00
M,439,O'Brien,5.0,5.0,Nott'm Forest,0,0.00,0,0.00,0.00
D,440,Omobamidele,4.2,4.2,Nott'm Forest,0,0.00,0,0.00,0.00
D,441,Panzo,4.0,4.0,Nott'm Forest,0,0.00,0,0.00,0.00
M,442,Sangaré,4.3,4.3,Nott'm Forest,22,0.90,23,0.89,0.00
G,443,Sels,5.2,5.2,Nott'm Forest,94,3.54,93,3.22,0.02
D,444,Toffolo,4.2,4.2,Nott'm Forest,1,0.04,2,0.08,0.00
G,445,Turner,3.9,3.9,Crystal Palace,1,0.05,3,0.09,0.00
F,446,Ui-jo,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0.00
F,447,Wood,7.1,7.1,Nott'm Forest,89,4.72,85,4.14,0.19
D,448,Worrall,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0.00
M,449,Yates,4.8,4.8,Nott'm Forest,38,1.40,38,1.34,0.00
M,450,Alcaraz,4.7,4.7,Everton,50,2.85,50,1.86,0.00
M,451,Amo-Ameyaw,4.4,4.4,Southampton,0,0.00,0,0.00,0.00
M,452,Aribo,4.9,4.9,Southampton,20,0.81,24,0.93,0.00
F,453,Armstrong,5.1,5.1,Southampton,0,0.00,0,0.00,0.00
G,454,Bazunu,4.3,4.3,Southampton,0,0.00,0,0.00,0.00
D,455,Bednarek,4.0,4.0,Southampton,91,1.81,88,1.34,0.00
D,456,Bella-Kotchap,3.9,3.9,Southampton,3,0.07,4,0.08,0.00
D,457,Bree,3.9,3.9,Southampton,8,0.29,8,0.26,0.00
M,458,Charles,4.5,4.5,Southampton,0,0.00,0,0.00,0.00
M,459,Edozie,4.9,4.9,Southampton,0,0.00,0,0.00,0.00
D,460,Edwards,3.9,3.9,Southampton,0,0.00,0,0.00,0.00
D,461,Harwood-Bellis,3.9,3.9,Southampton,91,1.81,87,1.33,0.00
M,462,Kamaldeen,5.0,5.0,Southampton,75,2.67,73,2.53,0.00
M,463,Lallana,5.0,5.0,Southampton,0,0.00,0,0.00,0.00
D,464,Larios,3.9,3.9,Southampton,0,0.00,0,0.00,0.00
G,465,Lis,4.0,4.0,Southampton,0,0.00,0,0.00,0.00
G,466,Lumley,4.0,4.0,Southampton,0,0.00,0,0.00,0.00
D,467,Manning,4.3,4.3,Southampton,78,2.15,76,1.71,0.00
F,468,Mara,5.0,5.0,Southampton,0,0.00,0,0.00,0.00
G,469,McCarthy,4.2,4.2,Southampton,1,0.04,2,0.07,0.00
F,470,Onuachu,4.9,4.9,Southampton,58,2.47,56,2.34,0.00
M,471,Smallbone,5.0,5.0,Southampton,17,0.74,21,0.87,0.00
D,472,Stephens,4.0,4.0,Southampton,83,1.80,80,1.37,0.00
F,473,Stewart,4.4,4.4,Southampton,31,1.56,31,1.44,0.00
D,474,Sugawara,4.2,4.2,Southampton,29,0.94,17,0.52,0.00
D,475,Taylor,3.9,3.9,Southampton,0,0.00,1,0.03,0.00
D,476,Walker-Peters,4.2,4.2,Southampton,68,1.53,88,1.51,0.00
D,477,Wood,3.9,3.9,Southampton,3,0.08,3,0.08,0.00
D,478,A.Phillips,4.0,4.0,Spurs,0,0.00,0,0.00,0.00
G,479,Austin,4.0,4.0,Spurs,0,0.00,0,0.00,0.00
M,480,Bentancur,4.9,4.9,Spurs,46,1.43,48,1.57,0.00
M,481,Bergvall,4.4,4.4,Spurs,0,0.00,0,0.00,0.00
M,482,Bissouma,4.8,4.8,Spurs,59,1.68,59,1.80,0.00
M,483,Bryan,5.0,5.0,Spurs,0,0.00,0,0.00,0.00
D,484,Davies,4.3,4.3,Spurs,53,0.85,56,1.28,0.00
M,485,Devine,4.5,4.5,Spurs,0,0.00,0,0.00,0.00
D,486,Dragusin,4.3,4.3,Spurs,0,0.00,0,0.00,0.00
D,487,E.Royal,4.5,4.5,Spurs,0,0.00,0,0.00,0.00
G,488,Forster,4.3,4.3,Spurs,1,0.05,1,0.05,0.00
M,489,Gray,4.6,4.6,Spurs,47,1.22,50,1.34,0.00
M,490,Højbjerg,5.0,5.0,Spurs,0,0.00,0,0.00,0.00
M,491,Johnson,6.2,6.2,Spurs,60,2.56,58,2.76,0.00
M,492,Kulusevski,6.2,6.2,Spurs,53,1.93,70,2.85,0.00
M,493,Lo Celso,4.9,4.9,Spurs,0,0.00,0,0.00,0.00
M,494,Maddison,7.4,7.4,Spurs,0,0.00,0,0.00,0.00
D,495,Pedro Porro,5.2,5.2,Spurs,38,0.96,35,1.22,0.00
D,496,Reguilón,4.1,4.1,Spurs,11,0.31,14,0.48,0.00
F,497,Richarlison,6.8,6.8,Spurs,49,2.23,48,2.41,0.00
D,498,Romero,4.9,4.9,Spurs,31,0.70,28,0.80,0.00
M,499,P.M.Sarr,4.7,4.7,Spurs,65,1.94,63,2.03,0.00
F,500,Scarlett,4.4,4.4,Spurs,0,0.00,0,0.00,0.00
M,501,Skipp,4.7,4.7,Leicester,57,1.78,55,1.50,0.00
M,502,Solomon,5.4,5.4,Spurs,0,0.00,0,0.00,0.00
M,503,Son,9.7,9.7,Spurs,33,1.86,31,1.94,0.00
D,504,Spence,4.4,4.4,Spurs,73,1.28,72,1.85,0.00
D,505,Udogie,4.8,4.8,Spurs,33,0.83,34,1.07,0.00
D,506,Van de Ven,4.5,4.5,Spurs,30,0.63,30,0.84,0.00
F,507,Veliz,5.0,5.0,Spurs,0,0.00,0,0.00,0.00
G,508,Vicario,4.8,4.8,Spurs,74,2.52,73,2.52,0.00
M,509,Werner,6.2,6.2,Spurs,17,0.88,17,0.97,0.00
G,510,Whiteman,3.9,3.9,Spurs,0,0.00,0,0.00,0.00
M,511,Álvarez,5.0,5.0,West Ham,25,0.93,26,1.00,0.00
F,512,Antonio,5.2,5.2,West Ham,0,0.00,0,0.00,0.00
G,513,Areola,4.2,4.2,West Ham,94,3.44,93,3.63,0.28
M,514,Bowen,7.7,7.7,West Ham,90,4.51,86,5.04,0.19
M,515,Cornet,4.7,4.7,Southampton,0,0.00,0,0.00,0.00
D,516,Coufal,4.1,4.1,West Ham,25,0.92,27,1.07,0.00
D,517,Cresswell,3.9,3.9,West Ham,20,0.78,24,0.97,0.00
M,518,Downes,4.7,4.7,Southampton,67,1.69,67,1.65,0.00
M,519,Earthy,4.5,4.5,West Ham,0,0.00,0,0.00,0.00
D,520,Emerson,4.4,4.4,West Ham,64,2.45,63,2.69,0.00
G,521,Fabianski,3.9,3.9,West Ham,1,0.05,2,0.06,0.01
G,522,Foderingham,4.2,4.2,West Ham,0,0.00,0,0.00,0.00
F,523,Ings,4.8,4.8,West Ham,0,0.00,0,0.00,0.00
D,524,Kilman,4.3,4.3,West Ham,91,2.90,88,3.13,0.02
M,525,Kudus,6.2,6.2,West Ham,83,3.69,82,4.10,0.00
M,526,L.Guilherme,4.6,4.6,West Ham,11,0.56,14,0.78,0.00
M,527,L.Paquetá,5.7,5.7,West Ham,76,3.40,75,3.66,0.00
D,528,Mavropanos,4.3,4.3,West Ham,39,1.40,39,1.54,0.00
D,529,N.Aguerd,4.4,4.4,West Ham,0,0.00,0,0.00,0.00
M,530,Souček,4.8,4.8,West Ham,71,2.51,70,2.65,0.00
M,531,Ward-Prowse,6.1,6.1,West Ham,56,2.33,55,2.46,0.00
D,532,Zouma,4.4,4.4,West Ham,0,0.00,0,0.00,0.00
